"State","Year","electricity","auto","ng","food","house_own","house_rent","rPCE"
"Florida",2015,1252.4496,1261.38,1160.4,3405.45,12077.3704257636,13002.2251294842,40523
"Florida",2016,1195.0368,1345.84,1216.2,3471.15,12702.5675650273,13521.6071518358,40969
"Florida",2017,1257.7656,1445.57,1269,3525.9,13849.5632715182,14267.1322720136,41745
"Florida",2018,1226.9328,1521.61,1280.4,3602.55,15345.8521740818,15341.0597798669,42991
"Florida",2019,1268.3976,1558.62,1299.6,3686.71791044776,15252.0195240364,16188.2139833636,43951
"Florida",2020,1223.7432,1469.92,1282.8,3808.31194029851,15031.7291451909,16875.4163200273,42478
"Florida",2021,1270.524,1543.28,1374,4168.19104477612,16797.1437663955,19435.0822088961,46415
"Florida",2022,1477.848,1703.09,1580.4,4586.08880597015,25201.6386222727,22760.5106061304,47670
"Georgia",2015,1238.628,1071.33,877.2,3153.6,8984.42475975714,10919.9618294661,36948
"Georgia",2016,1231.1856,1153.39,873.6,3208.35,9145.87953505714,11101.5500154139,37523
"Georgia",2017,1273.7136,1286.49,1015.8,3208.35,9776.21838755,11092.1655692,38271
"Georgia",2018,1237.5648,1387.63,838.8,3274.05,10821.8970724929,11626.32269229,39237
"Georgia",2019,1242.8808,1436.55,892.8,3400.42264150943,10953.3794679214,12228.75399587,40029
"Georgia",2020,1275.84,1426.38,927,3558.19905660377,10830.8346692786,12850.6968613155,38887
"Georgia",2021,1347.0744,1432.29,954.6,3852.47169811321,11948.6977006857,14427.8960578518,42009
"Georgia",2022,1518.2496,1513.33,1083.6,4341.36509433962,16897.8517044071,16408.8172204989,42928
"Maryland",2015,1461.9,1117.71,721.8,3317.85,13299.556857725,13599.3638441333,39339
"Maryland",2016,1513.9968,1184.21,691.8,3394.5,13127.724038925,13821.4634999667,39953
"Maryland",2017,1503.3648,1256.49,778.2,3438.3,13757.660974875,14126.4867799333,40417
"Maryland",2018,1419.372,1327.25,707.4,3504,14829.423377875,14475.3359191667,41102
"Maryland",2019,1401.2976,1348.11,753,3708.85625,14656.9539644,14882.5535776667,41692
"Maryland",2020,1385.3496,1309.39,784.2,3921.925,14299.180118825,15473.6595236667,39293
